[	0.0000000000000000e+00	-4.2000000000000002e+00	4.0000000000000002e-01	7.0000000000000007e-02	8.8025400000000004e-02	0.0000000000000000e+00	6.7956500000000003e-02	0.0000000000000000e+00	]
[	1.0000000000000001e-01	-4.1928331905644587e+00	4.0550478236276510e-01	7.5637122610668669e-02	2.2070247255300532e-02	1.5103857803403103e-02	2.3412065606806215e-01	6.0353437600809556e-01	]
[	2.0000000000000001e-01	-4.1841857457323322e+00	4.0507203638592043e-01	1.0136409679927390e-01	-3.0725166792195897e-02	4.1326696832555555e-02	2.9033612451498680e-01	1.0656760777012426e+00	]
[	3.0000000000000004e-01	-4.1716622798834564e+00	3.9993691040610357e-01	1.5350845720955900e-01	-7.1977352804140221e-02	6.9469955111654769e-02	2.7252904106699755e-01	1.4953738111142783e+00	]
[	4.0000000000000002e-01	-4.1526188883892878e+00	3.9106135861829217e-01	2.3116199911536298e-01	-1.0553368295208930e-01	9.3576787220448987e-02	2.0960760110888707e-01	1.9268229372577750e+00	]
[	5.0000000000000000e-01	-4.1247574418365298e+00	3.7903193892763182e-01	3.2870863594789451e-01	-1.3505471086111639e-01	1.1025282584314421e-01	1.2391317134501728e-01	2.3576642814111834e+00	]
[	6.0000000000000009e-01	-4.0864777861821473e+00	3.6413210981451921e-01	4.3812086522972160e-01	-1.6294187140113736e-01	1.1804426424437846e-01	3.1915596679667278e-02	2.7722467689927277e+00	]
[	6.9999999999999996e-01	-4.0370257968708643e+00	3.4647854979032766e-01	5.5073609489764397e-01	-1.9012932908269464e-01	1.1689298155038133e-01	-5.4941250559609210e-02	3.1540727248733114e+00	]
[	8.0000000000000004e-01	-3.9764944074343083e+00	3.2615608270715113e-01	6.5842706921072769e-01	-2.1632001258083469e-01	1.0767966439731226e-01	-1.2932509250177149e-01	3.4912220712734281e+00	]
[	8.9999999999999991e-01	-3.9057343519095173e+00	3.0331777931568776e-01	7.5425313456177001e-01	-2.4044605524843235e-01	9.1855987829362495e-02	-1.8714843885722451e-01	3.7777994390510878e+00	]
[	1.0000000000000000e+00	-3.8262181713266474e+00	2.7823882085888879e-01	8.3276141375251900e-01	-2.6113311388754290e-01	7.1159529767969742e-02	-2.2678072237063032e-01	4.0133630764332340e+00	]
[	1.0999999999999999e+00	-3.7398850222287781e+00	2.5132795286178816e-01	8.9008425352638709e-01	-2.7708424605446980e-01	4.7401514136905874e-02	-2.4837959025064729e-01	4.2015268559124292e+00	]
[	1.2000000000000002e+00	-3.6489816713890688e+00	2.2310686474807742e-01	9.2392823127551205e-01	-2.8733751621974496e-01	2.2315384732806889e-02	-2.5334299783133069e-01	4.3483795293923997e+00	]
[	1.3000000000000000e+00	-3.5559081496711418e+00	1.9417035211169528e-01	9.3349840459158739e-01	-2.9139273650789749e-01	-2.5454388018818722e-03	-2.4387347286244507e-01	4.4610674134188137e+00	]
[	1.3999999999999999e+00	-3.4630738236342515e+00	1.6513893275180622e-01	9.1936988277995191e-01	-2.8923565068988449e-01	-2.5871035621928107e-02	-2.2263846353848010e-01	4.5467085266405949e+00	]
[	1.5000000000000000e+00	-3.3727690058573989e+00	1.3661338545222382e-01	8.8330858654076427e-01	-2.8127529530176315e-01	-4.6628262555273678e-02	-1.9250607512843090e-01	4.6116885336746183e+00	]
[	1.6000000000000001e+00	-3.2870569627494843e+00	1.0913749840589256e-01	8.2804544207229880e-01	-2.6824244562486266e-01	-6.4070788527392133e-02	-1.5634444431393793e-01	4.6613091334299623e+00	]
[	1.7000000000000000e+00	-3.2076903451402683e+00	8.3172001395397460e-02	7.5701654295967480e-01	-2.5106749458503996e-01	-7.7731583857374456e-02	-1.1687146228570867e-01	4.6997091847617405e+00	]
[	1.7999999999999998e+00	-3.1360544760837876e+00	5.9080341552520614e-02	6.7408862158829486e-01	-2.3076570227249757e-01	-8.7401964901324611e-02	-7.6536158593295114e-02	4.7299661390260086e+00	]
[	1.8999999999999999e+00	-3.0731378551899371e+00	3.7125027011943007e-02	5.8329159171994249e-01	-2.0834058853905421e-01	-9.3101370606873637e-02	-3.7451955517684828e-02	4.7542787115712946e+00	]
[	2.0000000000000000e+00	-3.0195281992648249e+00	1.7472382067760108e-02	4.8857709415307454e-01	-1.8471231034460317e-01	-9.5040929124436790e-02	-1.3392148335780805e-03	4.7741794335523400e+00	]
[	2.0999999999999996e+00	-2.9754306304912812e+00	2.0285236541856103e-04	3.9361820553458793e-01	-1.6067828370222886e-01	-9.3583264083269613e-02	3.0492515656921956e-02	4.7907213831492577e+00	]
[	2.1999999999999997e+00	-2.9407035284063734e+00	-1.4675668984893359e-02	3.0165691750929668e-01	-1.3689214330400920e-01	-8.9201366488458389e-02	5.7145436239302676e-02	4.8046310647732566e+00	]
[	2.3000000000000003e+00	-2.9149071002900202e+00	-2.7213676845801699e-02	2.1540219089846510e-01	-1.1386801391415617e-01	-8.2438541662040371e-02	7.8111060289056997e-02	4.8164181879045129e+00	]
[	2.4000000000000004e+00	-2.8973597920382250e+00	-3.7506749746658977e-02	1.3697454442439591e-01	-9.1993444102989222e-02	-7.3871180058081048e-02	9.3236171790129385e-02	4.8264527233740289e+00	]
[	2.5000000000000000e+00	-2.8871981456208089e+00	-4.5683818738269058e-02	6.7891685222515430e-02	-7.1547935729213225e-02	-6.4075736218752302e-02	1.0267270499644582e-01	4.8350145454747038e+00	]
[	2.6000000000000001e+00	-2.8834363469125490e+00	-5.1897455318383405e-02	9.0880228083160385e-03	-5.2724795873073563e-02	-5.3601005732302462e-02	1.0682190473255107e-01	4.8423247102479063e+00	]
[	2.7000000000000002e+00	-2.8850224658167050e+00	-5.6316210436024625e-02	-3.9039785771451951e-02	-3.5650306479750662e-02	-4.2946144101470900e-02	1.0627532788407960e-01	4.8485646074495552e+00	]
[	2.7999999999999998e+00	-2.8908891485538897e+00	-5.9118580887286748e-02	-7.6568512336426045e-02	-2.0397102545491826e-02	-3.2544630422557771e-02	1.0175494569418364e-01	4.8538875113716058e+00	]
[	2.8999999999999999e+00	-2.8999972084029002e+00	-6.0488232199320133e-02	-1.0397170744200819e-01	-6.9959236951755936e-03	-2.2754161659749923e-02	9.4054429561973102e-02	4.8584250236579019e+00	]
[	3.0000000000000000e+00	-2.9113712041812754e+00	-6.0610034914889858e-02	-1.2203702490649476e-01	4.5598693837811920e-03	-1.3851889719380974e-02	8.3991009245405687e-02	4.8622909666271692e+00	]
[	3.1000000000000005e+00	-2.9241266463214846e+00	-5.9666803804279751e-02	-1.3178226843987401e-01	1.4304752828420730e-02	-6.0344239498333384e-03	7.2358306145546211e-02	4.8655831944056240e+00	]
[	3.2000000000000002e+00	-2.9374889554100569e+00	-5.7836263261241833e-02	-1.3437504116677787e-01	2.2306058032337848e-02	5.7815131153536299e-04	5.9893199081828302e-02	4.8683858541323239e+00	]
[	3.3000000000000003e+00	-2.9508046834677870e+00	-5.5288139153197351e-02	-1.3105885321339941e-01	2.8656424128552002e-02	5.9352747315740461e-03	4.7249269318945249e-02	4.8707701704162805e+00	]
[	3.3999999999999999e+00	-2.9635457923401560e+00	-5.2181661673962335e-02	-1.2308848409715731e-01	3.3473125456148944e-02	1.0046741175673285e-02	3.4980059563039810e-02	4.8727960158129422e+00	]
[	3.5000000000000000e+00	-2.9753079911023184e+00	-4.8663395849542525e-02	-1.1167598930608340e-01	3.6892191032247321e-02	1.2972260052414190e-02	2.3530317971778236e-02	4.8745133718595364e+00	]
[	3.5999999999999996e+00	-2.9858042343608622e+00	-4.4865399930196788e-02	-9.7947980608200258e-02	3.9067727354667889e-02	1.4810395367745368e-02	1.3232388334845491e-02	4.8759644053904427e+00	]
[	3.7000000000000002e+00	-2.9948545204994170e+00	-4.0903837733368795e-02	-8.2914290924053266e-02	4.0163516581891295e-02	1.5687687312349340e-02	4.3134505572339204e-03	4.8771846349178842e+00	]
[	3.7999999999999998e+00	-3.0023730894755243e+00	-3.6878305216448908e-02	-6.7447166593242597e-02	4.0347133756506656e-02	1.5748422900842853e-02	-3.0987387873638141e-03	4.8782047666411712e+00	]
[	3.9000000000000004e+00	-3.0083540262668702e+00	-3.2871617390120213e-02	-5.2270015367701504e-02	3.9786622770067032e-02	1.5145346537928954e-02	-8.9627884709139894e-03	4.8790517691288464e+00	]
[	4.0000000000000000e+00	-3.0128561666288194e+00	-2.8950108305228161e-02	-3.7954474424915403e-02	3.8643558927774373e-02	1.4031705430029405e-02	-1.3310033687077127e-02	4.8797497201567301e+00	]
[	4.0999999999999996e+00	-3.0159880604830320e+00	-2.5164483395638333e-02	-2.4924259705940720e-02	3.7068939264022396e-02	1.2554697259743390e-02	-1.6230129718643224e-02	4.8803203486219644e+00	]
[	4.1999999999999993e+00	-3.0178936016204410e+00	-2.1551045548938472e-02	-1.3464416920910676e-02	3.5199817669975014e-02	1.0850300323647326e-02	-1.7857809003278199e-02	4.8807833093516111e+00	]
[	4.2999999999999998e+00	-3.0187387978099456e+00	-1.8133207287663416e-02	-3.7346558698622256e-03	3.3156947555525673e-02	9.0394908786618263e-03	-1.8358379896431604e-02	4.8811561953509450e+00	]
[	4.3999999999999995e+00	-3.0187000238710850e+00	-1.4923236697557126e-02	4.2145445181550134e-03	3.1042464246600367e-02	7.2258422016584136e-03	-1.7914593643636720e-02	4.8814545463677081e+00	]
[	4.5000000000000000e+00	-3.0179539716017754e+00	-1.1923896902302363e-02	1.0424271197410939e-02	2.8944331658494464e-02	5.4941980755780911e-03	-1.6718288877969521e-02	4.8816917250174434e+00	]
[	4.6000000000000005e+00	-3.0166694175401170e+00	-9.1303641801249724e-03	1.5008625189647707e-02	2.6926322785053056e-02	3.9102127970620931e-03	-1.4961416692350245e-02	4.8818791298960749e+00	]
[	4.7000000000000002e+00	-3.0150008411662790e+00	-6.5319355816658032e-03	1.8136437965393319e-02	2.5042249184130456e-02	2.5210257961612412e-03	-1.2822323325666903e-02	4.8820261688318691e+00	]
[	4.8000000000000007e+00	-3.0130838292730169e+00	-4.1134315351090836e-03	2.0013943539919751e-02	2.3327831747003678e-02	1.3566028712609565e-03	-1.0466135172338638e-02	4.8821406018266282e+00	]
[	4.9000000000000004e+00	-3.0110321440954531e+00	-1.8567939061790635e-03	2.0868852870173014e-02	2.1804920831596870e-02	4.3124359961445704e-04	-8.0410502605914209e-03	4.8822287314956796e+00	]
[	5.0000000000000000e+00	-3.0089363063130969e+00	2.5772891417717497e-04	2.0936063261684935e-02	2.0485535575528045e-02	-2.5441123106707472e-04	-5.6720463530392593e-03	4.8822957594284579e+00	]
[	5.0999999999999996e+00	-3.0068635037843721e+00	2.2505480987569755e-03	2.0445488824753218e-02	1.9370848116068106e-02	-7.1104381338821362e-04	-3.4606052933835473e-03	4.8823460970906787e+00	]
[	5.2000000000000002e+00	-3.0048586037105429e+00	4.1418592460476852e-03	1.9612178886197047e-02	1.8455374829745849e-02	-9.5821613270501128e-04	-1.4828410929523792e-03	4.8823836048618263e+00	]
[	5.2999999999999998e+00	-3.0029460338981959e+00	5.9510261053530899e-03	1.8628812380255592e-02	1.7727962356362339e-02	-1.0219674138084575e-03	2.0781547088345959e-04	4.8824117268342899e+00	]
[	5.4000000000000004e+00	-3.0011323001609820e+00	7.6960259557756049e-03	1.7660479877561804e-02	1.7172034652087779e-02	-9.3242163566855665e-04	1.5831000919145483e-03	4.8824336634980527e+00	]
[	5.5000000000000000e+00	-2.9994089068647498e+00	9.3930280276899661e-03	1.6841842052178899e-02	1.6768006786199611e-02	-7.2137949485721355e-04	2.6377427243123312e-03	4.8824523672524993e+00	]
[	5.5999999999999996e+00	-2.9977554479267035e+00	1.1056107960776981e-02	1.6276514243356098e-02	1.6493591875540805e-02	-4.2020821477879792e-04	3.3856828772560006e-03	4.8824705182736929e+00	]
[	5.6999999999999993e+00	-2.9961426601572883e+00	1.2697050294117683e-02	1.6038411372071969e-02	1.6325254791273256e-02	-5.7879279835556494e-05	3.8608958216088526e-03	4.8824905444737459e+00	]
[	5.7999999999999998e+00	-2.9945352458987395e+00	1.4325254062427807e-02	1.6174997180430445e-02	1.6238820574929036e-02	3.4087047057073977e-04	4.1140991865170271e-03	4.8825146289419594e+00	]
[	5.8999999999999995e+00	-2.9928942861755825e+00	1.5947571726340155e-02	1.6712160181886020e-02	1.6207532703318071e-02	7.5698314004078629e-04	4.2081542028839349e-03	4.8825447939729685e+00	]
[	6.0000000000000000e+00	-2.9911790923793022e+00	1.7568186889144893e-02	1.7660696905963696e-02	1.6204770552776596e-02	1.1793178631861847e-03	4.2385402600239848e-03	4.8825830538529873e+00	]
